id,title,rating,release_year,,,,trailer_url,,,,,poster_url,,,,,,,genres,overview
283995,Guardians of the Galaxy Vol. 2,7.624,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/y4MBh0EjBlMuOzv9axM4qJlmhzz.jpg,,,,,,,Science Fiction| Adventure| Action,"Guardians of the Galaxy Vol. 2 is a Science Fiction,  Adventure,  Action film. The story follows characters facing challenges and events that shape their journey."
121,The Lord of the Rings: The Two Towers,8.385,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/5VTN0pR8gcqV3EPUHHfMGnJYN9L.jpg,,,,,,,Adventure| Fantasy| Action,"The Lord of the Rings: The Two Towers is a Adventure,  Fantasy,  Action film. The story follows characters facing challenges and events that shape their journey."
1771,Captain America: The First Avenger,6.995,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/vSNxAJTlD0r02V9sPYpOjqDZXUK.jpg,,,,,,,Action| Adventure| Science Fiction,"Captain America: The First Avenger is a Action,  Adventure,  Science Fiction film. The story follows characters facing challenges and events that shape their journey."
297761,Suicide Squad,5.909,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/xFw9RXKZDvevAGocgBK0zteto4U.jpg,,,,,,,Action| Adventure| Fantasy,"Suicide Squad is a Action,  Adventure,  Fantasy film. The story follows characters facing challenges and events that shape their journey."
673,Harry Potter and the Prisoner of Azkaban,8.02,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/aWxwnYoe8p2d2fcxOqtvAtJ72Rw.jpg,,,,,,,Adventure| Fantasy,"Harry Potter and the Prisoner of Azkaban is a Adventure,  Fantasy film. The story follows characters facing challenges and events that shape their journey."
10195,Thor,6.768,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/prSfAi1xGrhLQNxVSUFh61xQ4Qy.jpg,,,,,,,Adventure| Fantasy| Action,"Thor is a Adventure,  Fantasy,  Action film. The story follows characters facing challenges and events that shape their journey."
10138,Iron Man 2,6.835,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/6WBeq4fCfn7AN0o21W9qNcRF2l9.jpg,,,,,,,Adventure| Action| Science Fiction,"Iron Man 2 is a Adventure,  Action,  Science Fiction film. The story follows characters facing challenges and events that shape their journey."
272,Batman Begins,7.701,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/4MpN4kIEqUjW8OPtOQJXlTdHiJV.jpg,,,,,,,Action| Crime| Drama,"Batman Begins is a Action,  Crime,  Drama film. The story follows characters facing challenges and events that shape their journey."
284053,Thor: Ragnarok,7.595,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/rzRwTcFvttcN1ZpX2xv4j3tSdJu.jpg,,,,,,,Action| Adventure| Science Fiction,"Thor: Ragnarok is a Action,  Adventure,  Science Fiction film. The story follows characters facing challenges and events that shape their journey."
150540,Inside Out,7.922,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/2H1TmgdfNtsKlU9jKdeNyYL5y8T.jpg,,,,,,,Animation| Family| Adventure| Drama| Comedy,"Inside Out is a Animation,  Family,  Adventure,  Drama,  Comedy film. The story follows characters facing challenges and events that shape their journey."
135397,Jurassic World,6.682,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/A0LZHXUzo5C60Oahvt7VxvwuzHw.jpg,,,,,,,Action| Adventure| Science Fiction| Thriller,"Jurassic World is a Action,  Adventure,  Science Fiction,  Thriller film. The story follows characters facing challenges and events that shape their journey."
807,Se7en,8.368,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/6yoghtyTpznpBik8EngEmJskVUO.jpg,,,,,,,Crime| Mystery| Thriller,"Se7en is a Crime,  Mystery,  Thriller film. The story follows characters facing challenges and events that shape their journey."
674,Harry Potter and the Goblet of Fire,7.816,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/fECBtHlr0RB3foNHDiCBXeg9Bv9.jpg,,,,,,,Adventure| Fantasy,"Harry Potter and the Goblet of Fire is a Adventure,  Fantasy film. The story follows characters facing challenges and events that shape their journey."
22,Pirates of the Caribbean: The Curse of the Black Pearl,7.794,1900,,,,https://www.youtube.com/embed/naQr0uTrH_s?si=Bdj6JFnpQUPl2Jxo,,,,,https://image.tmdb.org/t/p/w500/z8onk7LV9Mmw6zKz4hT6pzzvmvl.jpg,,,,,,,Adventure| Fantasy| Action,"Pirates of the Caribbean: The Curse of the Black Pearl is a Adventure,  Fantasy,  Action film. The story follows characters facing challenges and events that shape their journey."
12445,Harry Potter and the Deathly Hallows: Part 2,8.105,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/c54HpQmuwXjHq2C9wmoACjxoom3.jpg,,,,,,,Fantasy| Adventure,"Harry Potter and the Deathly Hallows: Part 2 is a Fantasy,  Adventure film. The story follows characters facing challenges and events that shape their journey."
11,Star Wars,8.204,1900,,,,https://www.youtube.com/embed/1g3_CFmnU7k?si=wD9T-wFA5LbvX8bx,,,,,https://image.tmdb.org/t/p/w500/6FfCtAuVAW8XJjZ7eWeLibRLWTw.jpg,,,,,,,Adventure| Action| Science Fiction,"Star Wars is a Adventure,  Action,  Science Fiction film. The story follows characters facing challenges and events that shape their journey."
297762,Wonder Woman,7.236,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/imekS7f1OuHyUP2LAiTEM0zBzUz.jpg,,,,,,,Action| Adventure| Fantasy,"Wonder Woman is a Action,  Adventure,  Fantasy film. The story follows characters facing challenges and events that shape their journey."
14160,Up,7.949,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/vpbaStTMt8qqXaEgnOR2EE4DNJk.jpg,,,,,,,Animation| Comedy| Family| Adventure,"Up is a Animation,  Comedy,  Family,  Adventure film. The story follows characters facing challenges and events that shape their journey."
102899,Ant-Man,7.082,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/8YxOIPrabqkQCOKKbuxaz9IcqhO.jpg,,,,,,,Science Fiction| Action| Adventure,"Ant-Man is a Science Fiction,  Action,  Adventure film. The story follows characters facing challenges and events that shape their journey."
238,The Godfather,8.707,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/3bhkrj58Vtu7enYsRolD1fZdja1.jpg,,,,,,,Drama| Crime,"The Godfather is a Drama,  Crime film. The story follows characters facing challenges and events that shape their journey."
286217,The Martian,7.678,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/5BHuvQ6p9kfc091Z8RiFNhCwL4b.jpg,,,,,,,Drama| Adventure| Science Fiction,"The Martian is a Drama,  Adventure,  Science Fiction film. The story follows characters facing challenges and events that shape their journey."
105,Back to the Future,8.314,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/fNOH9f1aA7XRTzl1sAOx9iF553Q.jpg,,,,,,,Adventure| Comedy| Science Fiction,"Back to the Future is a Adventure,  Comedy,  Science Fiction film. The story follows characters facing challenges and events that shape their journey."
140607,Star Wars: The Force Awakens,7.293,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/wqnLdwVXoBjKibFRR5U3y0aDUhs.jpg,,,,,,,Adventure| Action| Science Fiction,"Star Wars: The Force Awakens is a Adventure,  Action,  Science Fiction film. The story follows characters facing challenges and events that shape their journey."
634649,Spider-Man: No Way Home,7.99,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/5weKu49pzJCt06OPpjvT80efnQj.jpg,,,,,,,Action| Adventure| Science Fiction,"Spider-Man: No Way Home is a Action,  Adventure,  Science Fiction film. The story follows characters facing challenges and events that shape their journey."
675,Harry Potter and the Order of the Phoenix,7.686,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/5aOyriWkPec0zUDxmHFP9qMmBaj.jpg,,,,,,,Adventure| Fantasy,"Harry Potter and the Order of the Phoenix is a Adventure,  Fantasy film. The story follows characters facing challenges and events that shape their journey."
767,Harry Potter and the Half-Blood Prince,7.697,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/z7uo9zmQdQwU5ZJHFpv2Upl30i1.jpg,,,,,,,Adventure| Fantasy,"Harry Potter and the Half-Blood Prince is a Adventure,  Fantasy film. The story follows characters facing challenges and events that shape their journey."
263115,Logan,7.8,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/fnbjcRDYn6YviCcePDnGdyAkYsB.jpg,,,,,,,Action| Drama| Science Fiction,"Logan is a Action,  Drama,  Science Fiction film. The story follows characters facing challenges and events that shape their journey."
